degree,         coef,     SE_coef,  correl_coef,             ,             ,             ,             
     0,     0.121352,  0.00271974,  1.000000000, -0.664408766,  0.664408766, -0.664408766,  0.664408766
     1,       6.2299,    0.229338, -0.664408766,  1.000000000, -1.000000000,  1.000000000, -1.000000000
     2,     -13483.2,     496.352,  0.664408766, -1.000000000,  1.000000000, -1.000000000,  1.000000000
     3,  9.33758e+06,      343740, -0.664408766,  1.000000000, -1.000000000,  1.000000000, -1.000000000
     4, -7.70485e+08, 2.83635e+07,  0.664408766, -1.000000000,  1.000000000, -1.000000000,  1.000000000
